GEN,Ambiente,local_estado,Year_Date,GY_media,GY_mediana,GY_sd,n_rep,CV
AN CAMBARÁ,GO-APS-2015,GO-APS,2015,4833.25,5287.5,1206.6199001066298,4,24.96
AN CAMBARÁ,GO-APS-2017,GO-APS,2017,3966.5,3837.5,1189.84438758464,4,30
AN CAMBARÁ,GO-APS-2022,GO-APS,2022,3243,3527.5,726.3759357247458,4,22.4
AN CAMBARÁ,GO-ARC-2022,GO-ARC,2022,5875,5650,2185.368008673444,4,37.2
AN CAMBARÁ,GO-GOIA-2014,GO-GOIA,2014,4160.5,4212.5,304.1934691387484,4,7.31
AN CAMBARÁ,GO-GOIA-2015,GO-GOIA,2015,2048,2254.5,857.15148408357,4,41.85
AN CAMBARÁ,GO-GOIA-2016,GO-GOIA,2016,2828.25,2776.5,511.01753068428746,4,18.07
AN CAMBARÁ,GO-GOIA-2017,GO-GOIA,2017,2600,2875,655.1351005708669,4,25.2
AN CAMBARÁ,GO-POR-2013,GO-POR,2013,3273.25,3212.5,528.1738192426176,4,16.14
AN CAMBARÁ,GO-POR-2020,GO-POR,2020,6270.75,5988.5,992.2628599989689,4,15.82
AN CAMBARÁ,GO-POR-2021,GO-POR,2021,3020.8325,3069.4449999999997,930.0056888490881,4,30.79
AN CAMBARÁ,GO-SAG-2014,GO-SAG,2014,2551.75,2639,301.73318787741374,4,11.82
AN CAMBARÁ,GO-SAG-2015,GO-SAG,2015,3503.75,3527,516.147507985847,4,14.73
AN CAMBARÁ,GO-SAG-2016,GO-SAG,2016,3253.5,3381,1124.5267152599502,4,34.56
AN CAMBARÁ,GO-SAG-2017,GO-SAG,2017,3228,3317.5,318.7297705999028,4,9.87
AN CAMBARÁ,GO-SAG-2020,GO-SAG,2020,4736.6875,5067.75,1136.0233340630439,8,23.98
AN CAMBARÁ,GO-SAG-2021,GO-SAG,2021,2802.419355,2685.483871,1062.004787995252,8,37.9
AN CAMBARÁ,GO-SAG-2022,GO-SAG,2022,2544.5,2416.5,607.2607896667351,4,23.87
AN CAMBARÁ,GO-SAG-2023,GO-SAG,2023,3354,3026,1026.7028132164958,4,30.61
AN CAMBARÁ,GO-SCAN-2014,GO-SCAN,2014,4783.25,4791.5,861.8326887124515,4,18.02
AN CAMBARÁ,MA-BRE-2017,MA-BRE,2017,3410,3760,999.3998198919189,4,29.31
AN CAMBARÁ,MA-BURC-2015,MA-BURC,2015,5185.75,5181.5,329.3563166744086,4,6.35
AN CAMBARÁ,MA-ITAP-2017,MA-ITAP,2017,5309.5,5506.5,779.1518893429359,4,14.67
AN CAMBARÁ,MA-ITAP-2018,MA-ITAP,2018,2987.75,2775.5,1104.0475155837573,4,36.95
AN CAMBARÁ,MA-ITAP-2020,MA-ITAP,2020,4857.5,4835,1219.092900479697,6,25.1
AN CAMBARÁ,MA-ITAP-2021,MA-ITAP,2021,4031.25,4000,237.5,4,5.89
AN CAMBARÁ,MA-ITAP-2022,MA-ITAP,2022,1937.5,1892.5,494.78109637832097,4,25.54
AN CAMBARÁ,MA-MATI-2016,MA-MATI,2016,4106.25,4275,2134.7692107891507,4,51.99
AN CAMBARÁ,MA-MATO-2015,MA-MATO,2015,4514.75,4569,287.3886740983367,4,6.37
AN CAMBARÁ,MA-MRO-2014,MA-MRO,2014,3000,3100,722.2649560006818,4,24.08
AN CAMBARÁ,MA-SINES-2015,MA-SINES,2015,3546.75,3513,266.3135683112422,4,7.51
AN CAMBARÁ,MA-SMT-2017,MA-SMT,2017,4615.75,4550,1171.0859276756767,4,25.37
AN CAMBARÁ,MA-SMT-2020,MA-SMT,2020,3937.5,3975,995.8843880118386,8,25.29
AN CAMBARÁ,MA-SMT-2021,MA-SMT,2021,3562.5,3537.5,493.4994089830976,4,13.85
AN CAMBARÁ,MA-SMT-2022,MA-SMT,2022,2596.25,2460,350.0803479203024,4,13.48
AN CAMBARÁ,MA-SRM-2013,MA-SRM,2013,4781,4921.5,766.5650657315398,4,16.03
AN CAMBARÁ,MA-SRM-2014,MA-SRM,2014,5738.5,5899.5,709.9626750752465,4,12.37
AN CAMBARÁ,MT-AFL-2014,MT-AFL,2014,6162,6355,714.6187794901558,4,11.6
AN CAMBARÁ,MT-CAC-2013,MT-CAC,2013,4539,4500,455.581679467762,4,10.04
AN CAMBARÁ,MT-CAC-2015,MT-CAC,2015,4179.75,4089.5,528.5466709131118,4,12.65
AN CAMBARÁ,MT-CAC-2016,MT-CAC,2016,5478.25,5560,277.78573877480943,4,5.07
AN CAMBARÁ,MT-CAC-2017,MT-CAC,2017,3759,3612.5,657.0575824588486,4,17.48
AN CAMBARÁ,MT-CAC-2019,MT-CAC,2019,4926.5,4977,610.5240917987321,4,12.39
AN CAMBARÁ,MT-CAC-2021,MT-CAC,2021,4015,4020,336.0573165399024,4,8.37
AN CAMBARÁ,MT-CAC-2022,MT-CAC,2022,2360.25,2396.5,220.81119385876553,4,9.36
AN CAMBARÁ,MT-CAC-2023,MT-CAC,2023,6543.75,6500,187.77757232072915,4,2.87
AN CAMBARÁ,MT-LUC-2016,MT-LUC,2016,2631,2607,223.2009557924577,4,8.48
AN CAMBARÁ,MT-LUC-2017,MT-LUC,2017,3603.5,3664,435.7717292344697,4,12.09
AN CAMBARÁ,MT-SCAR-2013,MT-SCAR,2013,4322,4303.5,411.37087889154236,4,9.52
